Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
AAPL,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,3817.28,4015.57,198.29,4.8
AMD,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,3554.65,3931.31,376.66,9.0
GDX,NAKED_LONG,BEARISH,TIME,2019-01-03,2019-01-08,5,3743.59,3648.8,-94.8,-2.3
MSFT,NAKED_LONG,BEARISH,TIME,2019-01-07,2019-01-14,7,2487.52,2386.79,-100.73,-2.4
TSLA,DIAGONAL,BULLISH,TIME,2019-01-02,2019-01-17,15,3733.71,4114.59,380.88,9.1
AVGO,DIAGONAL,BULLISH,TIME,2019-01-03,2019-01-18,15,3665.95,3825.4,159.45,3.8
GDX,DIAGONAL,BULLISH,TIME,2019-01-07,2019-01-22,15,3710.93,3192.56,-518.37,-12.4
QCOM,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,3154.13,2895.48,-258.66,-6.2
GDX,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,4149.15,3593.21,-555.94,-13.3
GDX,NAKED_LONG,BEARISH,TIME,2019-01-23,2019-01-28,5,3917.48,4033.0,115.51,2.8
AAPL,DIAGONAL,BULLISH,TIME,2019-01-14,2019-01-29,15,3927.55,3623.61,-303.94,-7.3
ANET,DIAGONAL,BULLISH,TIME,2019-01-17,2019-02-01,15,3840.53,3616.45,-224.08,-5.4
TSLA,DIAGONAL,BULLISH,TIME,2019-01-18,2019-02-04,17,4146.2,3457.02,-689.18,-16.5
AVGO,DIAGONAL,BULLISH,TIME,2019-01-23,2019-02-07,15,3949.38,3297.92,-651.46,-15.6
ANET,DIAGONAL,BULLISH,TIME,2019-01-28,2019-02-12,15,4048.31,4333.89,285.58,6.9
TQQQ,DIAGONAL,BULLISH,TIME,2019-01-29,2019-02-13,15,4053.26,3925.47,-127.79,-3.1
MSFT,CREDIT_SPREAD,BULLISH,TIME,2019-02-01,2019-02-19,18,1226.73,602.67,624.06,15.0
GDX,DIAGONAL,BULLISH,TIME,2019-02-04,2019-02-19,15,3984.17,4024.49,40.32,1.0
TQQQ,DIAGONAL,BULLISH,TIME,2019-02-07,2019-02-22,15,4159.52,4018.64,-140.89,-3.4
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-12,2019-02-27,15,1567.68,1168.58,399.1,9.6
AVGO,NAKED_LONG,BULLISH,TIME,2019-02-22,2019-02-27,5,3843.01,3775.29,-67.71,-1.6
GDX,DIAGONAL,BULLISH,TIME,2019-02-13,2019-02-28,15,3875.47,3856.65,-18.82,-0.5
SOXL,NAKED_LONG,BULLISH,TIME,2019-02-27,2019-03-04,5,4011.72,3882.52,-129.2,-3.1
TQQQ,NAKED_LONG,BULLISH,TIME,2019-02-28,2019-03-05,5,4105.61,4033.96,-71.65,-1.7
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,1537.09,542.94,994.15,23.9
MU,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,1738.51,1166.09,572.43,13.7
WDAY,NAKED_LONG,BULLISH,TIME,2019-03-04,2019-03-11,7,3989.97,4121.65,131.68,3.2
SOXL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,4004.03,3899.44,-104.59,-2.5
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,3429.64,3525.43,95.8,2.3
QCOM,NAKED_LONG,BEARISH,TIME,2019-03-06,2019-03-11,5,3628.42,3623.23,-5.19,-0.1
META,DIAGONAL,BULLISH,TIME,2019-02-27,2019-03-14,15,4045.18,3532.5,-512.68,-12.3
NVDA,NAKED_LONG,BEARISH,TIME,2019-03-11,2019-03-18,7,4131.4,4378.82,247.42,5.9
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,4034.27,4160.1,125.83,3.0
SOXL,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,3957.88,4410.82,452.94,10.9
MU,DIAGONAL,BULLISH,TIME,2019-03-05,2019-03-20,15,3869.09,3503.81,-365.28,-8.8
GOOGL,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,3660.04,3704.86,44.83,1.1
META,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,3435.09,3556.73,121.65,2.9
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-18,2019-03-25,7,4029.86,4497.05,467.19,11.2
SHOP,NAKED_LONG,BULLISH,TIME,2019-03-19,2019-03-25,6,4003.63,3998.96,-4.67,-0.1
SHOP,NAKED_LONG,BULLISH,TIME,2019-03-20,2019-03-25,5,3976.12,4001.79,25.67,0.6
CIEN,CREDIT_SPREAD,BULLISH,TIME,2019-03-13,2019-03-28,15,1404.54,873.01,531.53,12.8
GDX,NAKED_LONG,BEARISH,TIME,2019-03-25,2019-04-01,7,4017.08,3820.22,-196.86,-4.7
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-26,2019-04-01,6,3778.34,3848.27,69.93,1.7
TQQQ,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,4145.6,4204.1,58.5,1.4
SOXL,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,4055.61,4647.28,591.67,14.2
NVDA,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,4132.2,4046.41,-85.79,-2.1
SOXL,DIAGONAL,BULLISH,TIME,2019-03-28,2019-04-12,15,4002.32,4808.72,806.4,19.4
GOOGL,NAKED_LONG,BULLISH,TIME,2019-04-09,2019-04-15,6,3704.78,3774.46,69.68,1.7
TSLA,NAKED_LONG,BULLISH,TIME,2019-04-09,2019-04-15,6,4134.52,3903.14,-231.38,-5.6
ZS,DIAGONAL,BULLISH,TIME,2019-04-01,2019-04-16,15,3399.26,3425.0,25.75,0.6
GDX,CREDIT_SPREAD,BULLISH,TIME,2019-04-01,2019-04-16,15,1197.77,594.06,603.71,14.5
AVGO,NAKED_LONG,BEARISH,TIME,2019-04-12,2019-04-17,5,3687.56,3659.13,-28.43,-0.7
NVDA,NAKED_LONG,BULLISH,TIME,2019-04-15,2019-04-22,7,4077.27,3852.74,-224.53,-5.4
TSLA,NAKED_LONG,BULLISH,TIME,2019-04-15,2019-04-22,7,3928.9,3869.48,-59.42,-1.4
NOW,NAKED_LONG,BULLISH,TIME,2019-04-16,2019-04-22,6,4163.83,4102.69,-61.14,-1.5
CRM,NAKED_LONG,BULLISH,TIME,2019-04-16,2019-04-22,6,3347.93,3306.57,-41.36,-1.0
NOW,NAKED_LONG,BULLISH,TIME,2019-04-17,2019-04-22,5,4104.95,4104.53,-0.42,-0.0
AMD,DIAGONAL,BULLISH,TIME,2019-04-09,2019-04-24,15,4115.94,3395.06,-720.88,-17.3
AVGO,NAKED_LONG,BULLISH,TIME,2019-04-22,2019-04-29,7,3807.71,3772.92,-34.78,-0.8
IWM,NAKED_LONG,BULLISH,TIME,2019-04-22,2019-04-29,7,2932.44,3001.6,69.15,1.7
TQQQ,NAKED_LONG,BEARISH,TIME,2019-04-22,2019-04-29,7,4031.64,4219.64,188.0,4.5
SOXL,NAKED_LONG,BEARISH,TIME,2019-04-22,2019-04-29,7,3990.3,3815.58,-174.72,-4.2
