ts,kind,action,strike,expiry,contracts,price_per_share,spot,iv,delta,slippage,commission,pnl,leaps_id,short_id,reason,cash_after
2021-03-04 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,331.3518483085632,2021-04-04 01:00:00-04:00,1,2.8612166402051784,304.09,0.31998399658203125,0.1911112478401279,0.0,1.0,63.2237516545286,L0004,S0006,PMCC_PROFIT_EARLY,6127.126882523009
2021-03-04 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,327.61468098831165,2021-04-05 01:00:00-04:00,1,3.6804625238987114,304.09,0.31998399658203125,0.23,0.0,1.0,0.0,L0001,S0007,PMCC_OPEN_BULL_MODERATE,6494.17313491288
2021-03-04 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,327.61468098831165,2021-04-05 01:00:00-04:00,1,3.6804625238987114,304.09,0.31998399658203125,0.23,0.0,1.0,0.0,L0004,S0008,PMCC_OPEN_BULL_MODERATE,6861.219387302752
2021-03-05 10:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,327.61468098831165,2021-04-05 01:00:00-04:00,1,1.8861134864265878,300.89,0.27619199829101565,0.15466167046042556,0.0,1.0,178.43490374721236,L0001,S0007,PMCC_PROFIT_EARLY,6671.608038660093
2021-03-05 10:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,327.61468098831165,2021-04-05 01:00:00-04:00,1,1.8861134864265878,300.89,0.27619199829101565,0.15466167046042556,0.0,1.0,178.43490374721236,L0004,S0008,PMCC_PROFIT_EARLY,6481.996690017435
2021-03-05 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,329.1186020812987,2021-04-06 01:00:00-04:00,1,3.2457276800036112,308.78,0.27619199829101565,0.23,0.0,1.0,0.0,L0001,S0009,PMCC_OPEN_BULL_MODERATE,6805.569458017796
2021-03-05 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,329.1186020812987,2021-04-06 01:00:00-04:00,1,3.2457276800036112,308.78,0.27619199829101565,0.23,0.0,1.0,0.0,L0004,S0010,PMCC_OPEN_BULL_MODERATE,7129.142226018157
2021-03-08 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,329.1186020812987,2021-04-06 01:00:00-04:00,1,1.552179868258257,299.92,0.28526399230957034,0.13246013104414966,0.0,1.0,168.35478117453542,L0001,S0009,PMCC_PROFIT_EARLY,6972.924239192332
2021-03-08 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,329.1186020812987,2021-04-06 01:00:00-04:00,1,1.552179868258257,299.92,0.28526399230957034,0.13246013104414966,0.0,1.0,168.35478117453542,L0004,S0010,PMCC_PROFIT_EARLY,6816.706252366506
2021-03-08 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,320.3848171386718,2021-04-09 01:00:00-04:00,1,3.251734925035649,299.92,0.28526399230957034,0.23,0.0,1.0,0.0,L0001,S0011,PMCC_OPEN_BULL_MODERATE,7140.879744870072
2021-03-08 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,320.3848171386718,2021-04-09 01:00:00-04:00,1,3.251734925035649,299.92,0.28526399230957034,0.23,0.0,1.0,0.0,L0004,S0012,PMCC_OPEN_BULL_MODERATE,7465.053237373637
2021-03-11 10:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,320.3848171386718,2021-04-09 01:00:00-04:00,1,7.458209008822649,317.55,0.24539199829101566,0.46271998779192414,0.0,1.0,-421.64740837870005,L0001,S0011,PMCC_STRIKE_GAP,6718.232336491372
2021-03-11 10:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,320.3848171386718,2021-04-09 01:00:00-04:00,1,7.458209008822649,317.55,0.24539199829101566,0.46271998779192414,0.0,1.0,-421.64740837870005,L0004,S0012,PMCC_STRIKE_GAP,5971.411435609107
2021-03-29 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,333.09442749023424,2021-04-30 00:00:00-04:00,1,2.809435479815903,315.84,0.23228799743652345,0.23,0.0,1.0,0.0,L0001,S0013,PMCC_OPEN_BULL_MODERATE,6251.354983590697
2021-03-29 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,333.09442749023424,2021-04-30 00:00:00-04:00,1,2.809435479815903,315.84,0.23228799743652345,0.23,0.0,1.0,0.0,L0004,S0014,PMCC_OPEN_BULL_MODERATE,6531.298531572287
2021-03-30 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,333.09442749023424,2021-04-30 00:00:00-04:00,1,1.9145439745777821,313.56,0.21963200683593748,0.18088006828103131,0.0,1.0,88.4891505238121,L0001,S0013,PMCC_PROFIT_EARLY,6338.844134114509
2021-03-30 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,333.09442749023424,2021-04-30 00:00:00-04:00,1,1.9145439745777821,313.56,0.21963200683593748,0.18088006828103131,0.0,1.0,88.4891505238121,L0004,S0014,PMCC_PROFIT_EARLY,6146.389736656731
2021-03-31 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,335.2578813514709,2021-05-02 00:00:00-04:00,1,2.6601602644203552,319.03,0.21727999572753914,0.23,0.0,1.0,0.0,L0001,S0015,PMCC_OPEN_BULL_MODERATE,6411.405763098766
2021-03-31 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,335.2578813514709,2021-05-02 00:00:00-04:00,1,2.6601602644203552,319.03,0.21727999572753914,0.23,0.0,1.0,0.0,L0004,S0016,PMCC_OPEN_BULL_MODERATE,6676.421789540802
2021-04-05 15:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,335.2578813514709,2021-05-02 00:00:00-04:00,1,5.353712826327467,331.08,0.20059199829101562,0.4198136704828563,0.0,1.0,-270.35525619071115,L0001,S0015,PMCC_STRIKE_GAP,6140.0505069080555
2021-04-05 15:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,335.2578813514709,2021-05-02 00:00:00-04:00,1,5.353712826327467,331.08,0.20059199829101562,0.4198136704828563,0.0,1.0,-270.35525619071115,L0004,S0016,PMCC_STRIKE_GAP,5603.679224275309
2021-04-05 00:00:00,SMH_SPREAD,SELL_TO_OPEN,115.0,2021-04-19,1,2.611511,124.75191497802734,0.684177,0.25,0.0,1.3,0.0,,,SMH_ENTRY,5602.379224275309
2021-04-06 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,346.4257536849975,2021-05-08 00:00:00-04:00,1,2.5814968276679338,330.78,0.2029440093994141,0.23,0.0,1.0,0.0,L0001,S0017,PMCC_OPEN_BULL_MODERATE,5859.528907042102
2021-04-06 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,346.4257536849975,2021-05-08 00:00:00-04:00,1,2.5814968276679338,330.78,0.2029440093994141,0.23,0.0,1.0,0.0,L0004,S0018,PMCC_OPEN_BULL_MODERATE,6116.678589808896
2021-04-08 00:00:00,SMH_SPREAD,CLOSE,115.0,2021-04-19,1,1.111172,124.52389526367188,0.523085,,0.0,1.3,147.433851,,,SMH_PROFIT_TAKE,6264.112440750307
2021-04-08 00:00:00,SMH_SPREAD,SELL_TO_OPEN,117.0,2021-04-22,2,1.917045,124.52389526367188,0.51178,0.25,0.0,2.6,0.0,,,SMH_ENTRY,6261.512440750306
2021-04-16 00:00:00,SMH_SPREAD,CLOSE,117.0,2021-04-22,2,0.68863,122.45240020751953,0.41773,,0.0,2.6,240.483095,,,SMH_PROFIT_TAKE,6501.995535623598
2021-04-16 00:00:00,SMH_SPREAD,SELL_TO_OPEN,116.5,2021-04-30,2,1.591219,122.45240020751953,0.420128,0.25,0.0,2.6,0.0,,,SMH_ENTRY,6499.395535623597
2021-04-19 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,346.4257536849975,2021-05-08 00:00:00-04:00,1,3.1798998741112996,339.43,0.19364801025390627,0.33015738608791956,0.0,1.0,-60.840304644336584,L0001,S0017,PMCC_GAMMA_MGMT,6180.405548212468
2021-04-19 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,346.4257536849975,2021-05-08 00:00:00-04:00,1,3.1798998741112996,339.43,0.19364801025390627,0.33015738608791956,0.0,1.0,-60.840304644336584,L0004,S0018,PMCC_GAMMA_MGMT,5861.415560801338
